Italian word,English translation
guardata,to look / watch
mandarti,to drive / to send / forward / dispatch / transmit
steroidi,steroid
concentrarci,to concentrate / focus / to gather / assemble / bring together / merge
vialetto,path / lane
rasoio,razor
vorrete,like
pienamente,fully / completely / absolutely / quite
lavaggio,washing / wash
equipaggiamento,equipment / equipping / fitting out / kitting out
emotiva,emotional woman / emotionalist
frainteso,to misunderstand; to misapprehend
possiedo,to master [a subject / a language / etc.] / to possess / have / own
tentativi,to tempt / to lure / to attract / to entice / to try / to attempt
parlera,will speak
trovasse,to find
visivo,visual
spettatori,bystander / onlooker / witness / spectator
gare,competition / competition; contest; event; race
capii,to understand
divorziare,to divorce / to get divorced / to separate
reggimento,regiment
solitaria,A single-handed achievement
siero,serum / whey
controllarlo,to audit / to check / verify / inspect / examine / to control / dominate
identico,identical
significano,to mean / to signify
incendi,fire / blaze
riguardi,care / respect / connection / regard / respect / regard / consideration
corro,to hurry / rush / to run / to run [a race or a risk]
credevano,to believe / think
ergastolo,a life sentence / the place where a life sentence is served
performance,performance
potenziali,to potentiate / to strengthen / develop / improve / enhance / empower
donare,to donate / to give
preoccuparci,to worry / to trouble / to bother
venezia,The letter V in the Italian phonetic alphabet / Venice
succedeva,to happen / to succeed
navicella,diminutive form of nave: a small ship / gondola / incense boat
rito,rite; ritual
intensa,intense / strong / intensive / busy / concentrated
passerai,to pass / to stop by / to pass something
avanguardia,cutting edge / avant-garde / vanguard / advance guard
sicure,sure / safe (m.)
collegata,to colligate
chiederei,to ask / to request
permettete,to allow / to let / to permit / to authorize / to entitle
coprifuoco,curfew
bretagna,Brittany
marcire,To rot / fester or go bad / To rot
consiste,to consist of / to entail / To hold together; to last; to endure
inventare,to fabricate / make up / to invent
pulisci,to clean / to wipe / to scrub / to wash / to brush / to clear / to dust
spedire,mail / ship / got
sene',go away (elided)
ciotola,bowl
tromba,horn / bugler / trumpet
gomito,elbow
richiami,allure / booster / call
lucia,female given name / cognate to Lucy
rotoli,to rotate around / to turn round
damigella,damsel / mistress
legittimo,legitimate / legal / rightful / legitimate / proper / fair
pelliccia,fur coat / fur / fur
grecia,Greece
dr,Dr.
insiste,to persist in doing something / to insist on something
insulto,insult / abuse / slur / insult
sentii,to hear / feel
negativi,denied / refused / useless / hopeless
raccontarmi,to tell / to narrate / to recount / to relate
patata,potato / potatoes
aprila,you open
ave,hail
trovassi,to find
tentazione,temptation
attraversa,to cross / to go through / to span
grammi,gramme/gram / unit of mass
religioso,religious
autostima,self-esteem
resoconto,account / minutes / report
basata,to base / ground / found
squilla,blast [of a trumpet / etc.] / prostitute / trollop / strumpet / whore
alzatevi,to build / to erect / to lift / to raise / to heave
accusare,To accuse / to reproach / to impeach
soffia,to steal / pinch / to blow / to hiss [cats]
ballando,to dance / to fidget / to totter / wobble / shake
lunghezza,length
supera,to cross / to exceed / to excel / surpass or outdo
inaccettabile,inadmissible / intolerable / incredible / unacceptable
depressa,depressed (f.)
aprilo,you open
ciechi,blind / blind person
binari,binary / rail / railway / railroad / line / track / platform
comodi,comfortable / convenient / handy / loose
prendili,you take
guardatemi,you (pl.) look
strike,strike
motto,motto / maxim / posy / Witty remark
biologia,biology
insegni,to teach / to lecture / to teach
esservi,to be
finanziaria,investment company / finance company
dintorni,round / around / about / round about / outskirts / vicinity / neighbourhood
plasma,plasma
prevede,to forecast / to foresee / anticipate / to plan
sigaro,cigar / cheroot
pancetta,pancetta / paunch
arbitro,arbitrator / referee / umpire
magra,low water / scarcity
britannico,British citizen / Briton / British
giu',down / downstairs / below / low / depressed / weak / below
estivo,summer / summery
rivale,rival / rival
visitato,to examine / to visit
complicazioni,A complication
robaccia,rubbish
lottando,to fight / to struggle
celle,cell
sacca,bag / inlet / pocket
accolta,welcomed (f.)
fuso,cast / melted / worn-out
elettricità,electricity
schiava,slave
avuti,to have
faro',I will do / make
week-end,weekend
operativa,operating / operational / practical / operative / effective
ictus,ictus / stroke
tiralo,to pull / draw / kick / bend / die / to throw / shoot / drag / toss / roll
arrivino,to come / to be placed / to arrive / to come / to reach
subire,to suffer / sustain / experience / receive / to undergo / stand / go through
maratona,marathon / Marathon
comportarmi,to involve / to imply / to entail
padrino,godfather / second / sponsor
parlerai,to speak / talk
difeso,fortified / protected / sheltered
acconsentito,agreed
corta,short (f.)
ereditato,To inherit
fischio,whistle
realta',reality / situation
senatrice,senator / member of the Senate
muoviamo,to move
scoperti,bare / open / uncovered
assente,absent / away / absentee
pannolini,nappy / diaper / sanitary towel / sanitary napkin / pad
sentira,to hear / feel
chiedigli,to ask / to request
baule,case / trunk / trunk or boot
chiesta,to ask / to request (f.)
pagarmi,to pay
pittura,painting
cola,cola
vinceremo,to win / to vanquish
mine,lead in pencils / mine / land mine / mine which produces ore
iran,Iran
dirigente,leading / ruling / managerial / executive / leader
battaglione,battalion
elicotteri,helicopter
inseguito,To pursue
svegliarti,to awaken / to stimulate
incrociato,crossbred / crossed / cross / crossover
citazione,citation / quotation / summons / subpoena
musicisti,musician / musician
svezia,Sweden
giovinezza,youth
pubblicamente,publicly
migliorato,to improve / to get better / to improve / to better / to mend
continente,temperate / mainland / continent
labirinto,labyrinth / labyrinth / maze
traghetto,ferry
cassonetto,rubbish bin / wheelie bin [British] / trash can [US]
accompagna,to accompany / add / match / to go with / come with / accompany / escort
teschio,skull
laboratori,laboratory / lab / workshop / workroom
nottata,A night in its entirety
indagato,under investigation / Man or person under investigation
copro,to heap / to cover
amarmi,to love
esercitazione,exercise / practical
sfidare,to challenge / to defy
allontani,to avert / remove / to move away / pull away / push away
rappresentare,to run / show / to act / play / stage / give
giurisdizione,jurisdiction
pasquale,Easter / paschal / male given name / cognate to Pascal
profondita,depth / depths
basse,low / short (m.)
gentiluomini,gentleman
riprendersi,looking
sgradevole,ugly / evil / unsightly
affamati,To starve
desiderate,To wish / to want / to like / to desire / to long
allergica,allergic
curiosita,curio / curiosity / inquisitiveness
funebre,funeral / funereal / mournful / gloomy
salga,to go up / come up / to ride / mount
facoltà,faculty / power / authority / licence / permission / right / faculty / school
recitazione,acting / recitation
renderebbe,To be profitable / To give back / to return / To make
an,Alleanza Nazionale
speravamo,to hope
guscio,shell
ignoto,unknown / the unknown / unknown person
venirmi,to come
osservato,to observe / keep / to observe / remark / point out / object / notice
convento,convent / monastery
formidabile,fantastic / extraordinary / terrific / impressive / formidable
barbiere,barber
chiarezza,clarity / clearness
intestino,internal / intestine
ingenua,naif
coreano,Korean
calo,fall / drop / loss / decrease
prendervi,to take
casetta,Little house
sfortunato,hapless / unfortunate / unlucky
esemplare,exemplary / model / copy
piste,runway / ski run / ski slope / piste / trail / line
salvarci,to save / guard / safeguard / protect / defend
discesa,descent / slope / fall / drop / downhill
mar,sea
granata,grenade / hand grenade / maroon / member or supporter of Torino FC
sembrata,to seem; to look ; to appear / to sound / taste or feel
centimetro,centimetre
religiosa,religious / nun
sonda,drill / probe / Sunda
prenotazione,reservation / booking / reservations
investimenti,crash / running over / knocking down / investment
montare,to mount / rise / go / to mount / climb / go up / get on to / to edit
misteri,mystery / enigma / secret / puzzle
nostalgia,nostalgia / homesickness / longing
entrava,to enter / to go in
tornasse,to return
marines,Marines (loanword)
dette,said (f. pl.)
stoffa,cloth / material / fabric / stuff / makings
ombrello,shelter / umbrella / gamp
occupazione,occupancy / occupation / activity / job / employment / work / business
domestico,domestic / home / family / household / house servant / domestic
francesca,female given name / equivalent to English Frances
box,garage / lock-up / horsebox / pit
mostrando,to pretend / to show
nodo,bond / tie / crux / knot / gnarl
utero,womb / uterus / metra
astuto,astute / shrewd
comunale,communal / municipal / town
generali,general / general
aiutiamo,to help / assist
meravigliosi,to surprise / to amaze / to astonish
tesori,term of endearment / treasure / valuable things / treasure
pentola,potful / pot / casserole
accompagnarmi,to accompany / add / match / to go with / come with / accompany / escort
costerà,to cost
giura,Jura
avanzato,entered / put forward / advanced
sotterraneo,underground / subterranean / basement / cellar / vault / crypt / dungeons
bloccate,to blockade / to block / block up / block off / to freeze
artu,Arthur
automobile,automobile
facolta,faculty / power / authority / licence / permission / right / faculty / school
grana,grain / cash / trouble
cartolina,postcard
provoca,to arouse / to cause [an incident / etc.] / to provoke
scompare,to pass away / die / to disappear / vanish
paghero,IOU
centri,centre / center / city centre / city center / downtown / core / heart
salgo,(I) mount / (I) come up / (I) rise up
riconosciuta,to admit / to appreciate / to identify
rendera,To be profitable / To give back / to return / To make
argomenti,argument / topic / matter / subject / issue / point
contrabbando,contraband / smuggling
cominciate,to begin / to start / to commence
pensasse,to think
veterani,old hand / veteran
spazzolino,polish off / toothbrush / brush
venticinque,twenty-five / twenty-five
eccole,here they are
aiutaci,to help / assist
assai,very
sanguigno,blood / hot-tempered / ruddy
localizzare,to confine / to locate
silenziosa,silent / voiceless / soundless / quiet / still / mute / noiseless / mum / taciturn
ape,honeybee / bee
portò,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
daccordo,agreed / all right.. but; granted.. but / to be sure.. but
poverino,"""Poor little boy"""
preferiresti,to prefer
mimi,A pet-form of Domenico / A pet-form of Maria
biasimo,blame / fault
disturbarla,to interfere / jam / to disturb / bother / trouble / inconvenience
tondo,round / circular / circle / tondo
andiate,to go
rimetti,to put again / put back / replace / to remit / forgive / pardon
foglia,(you) leaf / (he/she/it) leafs / (he/she/it/you) foliate
sig.na,Miss (abbreviation of signorina)
troll,troll
coinquilina,roommate
rifiutata,to refuse / to decline / to reject (f.)
corsia,aisle / bus stop / gangway / passageway
competenza,competence / jurisdiction
delinquenti,delinquent / criminal / scoundrel / wretch
onorare,to be a credit to someone / to honour someone
dopodomani,the day after tomorrow
accusando,To accuse / to reproach / to impeach
accendino,lighter
pallido,bleak / pale
organo,organ [all senses]
attirato,to attract / hook
cimice,bedbug / bug
arrendersi,reflexive form of arrendere / to surrender
lasciava,to leave / let
stalla,cowshed / pigsty / stable / stall
documentazione,documentation / material / information / research
intendevi,to hear / to listen / heed / to mean / intend
matita,pencil
olimpiadi,Olympic Games / Olympiad / Olympic Games / Olympics
dicesti,to say / to tell
quadra,square sail / square rigged / square bracket
organismo,organization / body / authority / structure / agency / body / system
addome,abdomen
detenzione,detention / holding / possession
abbandonati,to abandon / walk out on
karate,karate
manovra,fiscal measure / rigging / manoeuvre
scintilla,spark
assicurarti,to assure / guarantee / to ensure / provide / to insure / assure
rivolto,to revolt / disgust / to turn inside out / to turn or turn over again
antidolorifici,analgesic / analgesic / painkiller
occuparci,to employ / find a job / to occupy / take over / squat in
significherebbe,to mean / to signify
ammetti,to admit / accept / acknowledge / to bear / tolerate / brook
cassette,box / case / crate / cassette
giocava,to gamble / bet / to game / to play
truffatore,cheat / swindler / fraudster
tiratore,shot
proprietaria,owner
granchio,crab / mistake
pensarlo,to think
dimostrarlo,to prove / to show / to establish / to demonstrate
promette,to look like / to promise / to threaten
lasciateci,to leave / let
bacia,To kiss
giardiniere,gardener
bibita,drink / beverage / drank
baciarti,To kiss
riprendermi,to revive / to resume / start again / begin again / go back
finocchio,fennel / queer / poof / nancy boy / faggot
bande,band / gang or group / bend
presti,soon / quickly
fuggita,to escape / run away
crederti,to believe / think
microonde,microwave / microwave oven
celibato,celibacy / bachelorhood
avvicinamento,approach
raggiunge,to attain / gain / achieve / to reach / arrive at / get to / touch
possedere,to master [a subject / a language / etc.] / to possess / have / own
riccardo,male given name / equivalent to Richard
viventi,The living
empire,to fill / to overflow
sepolta,buried
maggiordomo,butler / majordomo
nuziale,nuptial / wedding / bridal
mascalzone,rascal / scoundrel / rapscallion
istruttore,instructor / guide's / trainers
premuroso,attentive / thoughtful / considerate / caring
igienica,hygienic / sanitary / health / safe / clean / healthy
dessi,to give
trasferirmi,to convey / transfer / to transfer / move / remove / shift
liberata,to clear / vacate / free
usero,to use something
pc,PC
arrabbiarti,to have rabies; to be rabid
toccate,to touch
congelato,frozen / chilled / iced
scopriranno,to discover / find out / to sight; to spot / to uncover
tornarci,to return
sposiamo,to embrace / espouse / join
sbrighiamoci,to attend to / see to [a client / etc.]
scendiamo,to descend / get off
annunciato,male given name
venere,a beautiful woman / a prostitute / Venus
nasconderlo,To hide or conceal something
mozione,motion
eco,ultrasound / ultrasonography / echo / echoing sound
tipica,typical / classic / local / characteristic / peculiar
dircelo,to say / to tell
esploso,to explode or blow up
mettici,you put
bersagli,target
stanne,they are / they stay (f. pl.)
elezione,election
tatto,tact / touch
vizio,bad habit / error / fault / flaw / defect
cuoca,cook / chef
grigia,dismal / murky / sombre / drab / grey (f.)
ernie,hernia
prenderei,to take
celebrità,celebrity / fame
avvicinatevi,to approach / come up / accost / have to do with
segnalato,to blink / to indicate or be a sign of / to report or point out
internazionali,international
recinzione,enclosure / fence / fencing
biologica,biological / organic
esplosa,to explode or blow up (f.)
salutarti,healthy / wholesome / beneficial
svenire,to faint / pass out
tradizioni,tradition / transfer / delivery / tradition / custom / use / heritage
bacchetta,baton / chopstick / drumstick
sbronza,drunkenness / binge drinking
scoiattolo,squirrel
corrono,to hurry / rush / to run / to run [a race or a risk]
soddisfatta,satisfied / pleased
scatenato,unchained / loose / wild
kappa,kappa
gelatina,gelatine
guardaroba,cloakroom / wardrobe
pompiere,fireman / firefighter / fire brigade / fire department / fire company
unisciti,to join / to unite / to put together
starti,to stay / to be
marinai,sailor / mariner / seaman
oggigiorno,nowadays / these days
maledettamente,a damn sight more / a fuck sight more / a hell of a lot
spezzare,to break / break up / to chop [wood]
combini,to agree / fit / coincide / to do / be up to / to arrange / organize / agree
predica,lecture / talking-to / sermon
godetevi,to enjoy
trascorsi,past / past / past record / past errors
indicare,to indicate / to point out / point to / to recommend / advice / need
spontanea,natural / spontaneous / wild
vivete,lifestyle / living / life / to be
metal,metal
tenta,to tempt / to lure / to attract / to entice / to try / to attempt
fritte,fried / fried food / fry
anteriore,former / previous / prior / earlier / preceding in time
noleggio,hire / hiring / renting / hire / rental / freight
gravita,gravity / heaviness / weightiness / seriousness / graveness / solemnity
mah,well / who knows
congedo,coda / finale / leave
tener,apocopic form of tenere
schifezza,rubbish / junk / crap / slime / hideousness / filthiness
ciambella,any of several other ring-shaped cushions / rubber rings etc
vinta,won (f.)
imbroglione,cheat / swindler
valentine,able / talented / valent
chiedilo,to ask / to request
modificato,modified / souped-up
finali,thin / fine / till / until / as far as
ordinanza,batman / decree / order
brillanti,bright / brilliant / A diamond
anita,male given name (f.)
perdero,to lose
teatrale,theatrical / theatre / theater / stage / drama / acting
discreto,discreet / discrete / low-key
erbe,greens / vegetables
stazioni,station
armonia,harmony
arrestati,to arrest / to apprehend / to collar / to nick
fascia,bandage / belt / fess
eccessivo,excessive
spiando,to gauge / try to judge / to spy on / peep / peek / observe
gialli,yellow / amber / yellow
finanziari,financial
preliminare,preliminary / preliminaries; foreplay
svolgere,to carry out / to develop / to discuss
amichetto,playmate
conservare,hold / continue / stores
dammene,less / lower / worse (f. pl.)
invidio,to envy
avanzi,leftovers / remainder / remnant or scrap
distribuzione,allocation / assignment / arrangement / delivery
salsicce,sausage
omosessuale,homosexual / homosexual
boccone,morsel / nibble / mouthful
volando,to fly / to go quickly
continuerò,to carry on / to continue
buffet,buffet / refreshment bar / sideboard
duemila,two thousand
comportata,to involve / to imply / to entail
trappole,A trap / a snare / a catch
uniformi,unchanging / unvarying / monotonous / uniform / uniform / dress / habit
userò,to use something
unirmi,to join / to unite / to put together
nicola,male given name / equivalent to English Nicholas
sottoterra,underground
macello,mess / slaughterhouse / abattoir / slaughter / massacre
rispondono,[~ a] to correspond to / [~ di] to be responsible for
trasmesso,transmitted (p.p. of trasmettere)
giacomo,Used only in the verb fare giacomo giacomo / James [biblical character]
urina,urine
piacermi,pleased to meet you / delight / favour / kindness
indicato,indicated / suitable / right / advisable / fitting / pointed out / shown
individuato,identified / located / picked out
ricevendo,to receive / pick up / read / to accept
ingegneria,engineering
timida,shy
capiranno,to understand
condotti,conducted (p.p. of condurre)
suonano,to play [an instrument] / to ring / to sound
stento,difficulty / hardship / privation
risveglio,awakening / waking up / reawakening
passavo,to pass / to stop by / to pass something
operandi,operand (pl.)
vivevano,lifestyle / living / life / to be
gioiello,jewel
lamentele,complaint / grumble / stink / complaining / grumbling
accoltellato,To knife or stab
troupe,troupe / company
cotone,cotton
grandissimo,Very large / tall / high / wide / deep / great
adorava,To adore or worship
cassandra,storm petrel
trasmettere,transmits / passed / carried
interiore,inner / inward / internal / interior
rabbino,rabbi
conservato,To preserve / to bottle / to can / to tin / to pot
pratiche,activity / affair / practical woman / knowledge / familiarity
scatto,click / dash / increment
dimostri,to prove / to show / to establish / to demonstrate
credevamo,to believe / think
ditegli,you (pl.) say
cacciata,expulsion
rigido,rigid / rigorous / strict / rigorous / harsh / severe
rame,copper
lamentarti,to lament
manchera,to miss / to be lacking / to be missing / absent
beatrice,female given name / equivalent of English Beatrice
marziali,Marcia
adorabili,adorable / sweet / lovely
soglia,threshold
firenze,Florence / The letter F in the Italian phonetic alphabet
assicuratevi,to assure / guarantee / to ensure / provide / to insure / assure
togliersi,reflexive form of togliere / to get out of the way
commissioni,commission / committee / board / commission / fee / charge / commission
aprendo,to open / to turn on
guardatevi,you (pl.) look
fato,fate / destiny
misericordia,misericord / pity / mercy
sbrighi,to attend to / see to [a client / etc.]
indirizzi,address
nodi,bond / tie / crux / knot / gnarl
aglio,garlic
agitare,excited / shake / wagging
vocale,vocal / vowel
stupratore,rapist
rapine,to crop / to scalp / to shave closely
comprarmi,to buy
ignorante,ignorant / unaware / unknowing
decida,to choose or decide / to decide / make up one's mind
risiamo,To be again / To be back again / To go again
suonando,to play [an instrument] / to ring / to sound
marketing,marketing
spaziali,To range / To space
dinosauri,dinosaur (pl.)
localizzato,confined / localized
puntuale,on time / punctual / scrupulous; precise
trovai,to find
culturale,cultural
sospira,To sigh / To yearn for
discoteca,disco / club / discoteque
speri,Italian surname
scuri,To darken
tassista,driver
vincono,to win / to vanquish
intrappolata,To trap / to entrap / to ensnare
insegnarmi,to teach / to lecture / to teach
ripeterlo,to repeat
televisivo,TV / television
carbonio,carbon
prudenza,prudence / caution / carefulness
puzzolente,smelly / stinking / rank
investigatori,detective / investigator
destinati,to intend or mean
abbracciare,hug / cuddled
cotto,cooked / brickwork
invio,enter / sending / dispatch / delivery
attaccano,to attack / to stick / attach / append
interessava,to be in the interest to / to be the concern of / to matter to
tutore,tutor / guardian / mentor
imprese,To undertake / or embark upon something
giudiziario,legal / judicial
riprendiamo,to revive / to resume / start again / begin again / go back
alleato,allied / ally
pila,basin / battery / pile
conquistato,to attain / get / win / achieve / to conquer / capture
tesa,brim
frecce,arrow / arrow / indicator / blinker / trafficator
commissariato,A police station headed by a commissioner
organizza,to organize / arrange / set up
impulsi,impulse / drive / urge / boost / impulse / pulse / also archaic for momentum
serbo,Serbian / Serb / Serb / reserve
triangolo,triangle
volantini,A leaflet / pamphlet or flier / handout
alfredo,male given name / equivalent to English Alfred
emendamento,amendment / emendation
videogiochi,video game
giulietta,Juliet
vagabondo,idle / wandering / layabout / loafer
antibiotici,antibiotic / antibiotic
risparmia,to save / save up / put by / economize / scrimp / to spare
metterle,to put
infrangere,to break / shatter / smash / to infringe / to violate
cesto,basket
identica,identical (f.)
interpretazione,interpretation / interpretation / performance / rendition
accidentalmente,accidentally / casually / by chance / unintentionally
registratore,recorder
renderà,To be profitable / To give back / to return / To make
penseremo,to think
agisce,To proceed / To affect / To act out
giove,Jove / Jupiter
scenda,to descend / get off
ladra,thief
afferra,to grab / to catch
scadente,Of poor quality / of low quality / cheap / inferior / poor / low / bad
corvo,raven / crow / rook
durera,to last / to bear / to endure
canadese,Canadian
proteggerci,to protect
utilizzato,used / utilized
residui,remaining / residual / remainder
montaggio,assembly / editing / montage
mastro,principal / main / master
affamata,hungry / starving
yankee,Yankee (loanword)
razionale,rational
sportiva,athletic / sportive / sport-loving / active
volano,flywheel / shuttlecock
intuito,instinct / insight / sixth sense / intuition
imprevedibile,unpredictable / unforeseeable
conoscermi,to know [a person or place] / experience / to recognise
bevono,they drink
segnalazione,recommendation / report or announcement / signal
complici,accomplice
atterrato,To land / To floor
astronauta,astronaut / spacewoman / astronaut / spaceman
messaggero,messenger
accadono,to happen
accompagnatore,companion / escort / chaperone / manager [of a sports team] / accompanist
smetto,to stop or cease
incontriamoci,to play / fight
renderla,To be profitable / To give back / to return / To make
corridoi,aisle / corridor / passage
ricordatevi,to commemorate / to mention / record / to remember / recall / recollect
inventario,inventory / list / stock list / review
avra',will have
marziale,martial / male given name / cognate to English Martial
sollevata,to raise / lift / put up / rear / stir up / bring up / stand up (f.)
causata,to cause
allenamenti,coaching / shape / condition / training / practice / workout
flora,flora / female given name / The goddess of flowers / Flora
fidatevi,to have faith [in something or someone]
collegare,to colligate
spietato,fierce / bitter / relentless / merciless / ruthless / pitiless / cruel
presidenza,chairmanship / headmastership / presidency
cavando,to take out; to extract
supereroe,superhero
emergenze,emergence / emergency / phenomenon / finding / act
pronunciare,passed / pass / pronounce
liquore,spirits / liqueur / tincture
esausta,exhausted / worn out / tired / stuffed
regime,regimen / regime / régime
giuda,Judas / traitor / Jude ; Judas
giulia,female given name / cognate to English Julia
aiuteremo,to help / assist
umiliazione,humiliation
cartelli,A shop sign / A sign / a notice / a placard / a signboard
sostenuto,supported (p.p. of sostenere)
prendesse,to take
marchese,marquis
continuavo,to carry on / to continue
mostrerò,to pretend / to show
conoscevano,to know [a person or place] / experience / to recognise
rispose,[~ a] to correspond to / [~ di] to be responsible for
imparerai,to learn
starci,to stay / to be
taglie,reward / size
portar,apocopic form of portare
beva,to drink
punire,to punish
trasformazione,change / alteration / conversion / transformation
spiegami,to explain / elucidate / expound / show / account / understand
concentrata,concentrated / absorbed / attentive / concentrated / condensed
mostrarle,to pretend / to show
tossicologico,toxicological
portali,door / brings
segna,to score / to mark / to indicate / to signal; to say / to read / to give
costringermi,to force / to compel / to constrain / to oblige
caldi,hot / warm (m.)
perderla,to lose
pronuncia,accent / judgment / pronunciation
specialità,peculiarity / speciality / specialty / event / discipline
mattoni,brick
postino,mailman / postman / mail carrier
dirigendo,to address / to conduct / to lead
ginevra,female given name; Guinevere of Arthurian legend / Geneva
parcheggiare,(to) park / parks / let's
chiamala,calls
caratteristiche,characteristic / feature / trait / peculiarity / characteristic
invidia,envy
trattarmi,to be about / to deal with / to treat
filippo,male given name / equivalent to English Philip
statistiche,statistics
efficiente,effective / efficient
separare,to distinguish / dissociate / to separate / divide / split
indovinato,to guess / to predict / foretell
limonata,lemonade
sbornia,drunkenness / binge drinking
modificare,to modify / alter
arrenderti,to surrender
bastato,to be enough
individui,individual / man / person / fellow / guy / bloke / chap
lara,female given name
seguirlo,to follow or pursue
scrittrice,writers / authoress / writer
poverina,"""Poor little thing"""
sequestro,abduction / confiscation / kidnapping
considerati,to consider / to examine / to weight / to contemplate
forzato,artificial / forced / convict
ulteriore,further
ricominciato,to begin again / start again / recommence / resume
mappe,map / chart
riportarla,to carry / to bring again / bring back / take back / carry back
preparativi,prepared / ready / keen / preparation
limitato,limited / scarce
cristiana,a Christian / A female given name equivalent to Christiana
attrezzature,equipment / facilities
scelti,chosen (p.p. of scegliere)
souvenir,souvenir
amaro,digestive / bitter / without sugar
circondati,to lavish / to surround / encircle / enclose
stressante,stressful
avvenuta,happened (f.)
comprando,to buy
formiche,an ant
partorire,to give birth to / to produce
riserve,emergency fuel / reservation / condition / proviso / reserve
risarcimento,compensation
elementari,basic / fundamental / elementary / elementary / easy / simple
rilassarmi,To relax
angoli,angle / corner
domestici,domestic / home / family / household / house servant / domestic
felpa,sweatshirt
intento,intent on / concentrating on / busy at / intention / intent / design
sdraiati,deckchair
schiuma,foam / froth
chimiche,chemical / chemist
tantissimi,Very much; very many (pl.)
arcobaleno,rainbow
matteo,Matthew / the Gospel of Matthew
trattarsi,reflexive form of trattare / to be a matter of / be a question of / to be
trama,plot / weave / texture / weft
ricomincia,to begin again / start again / recommence / resume
scrittori,writer / author
continuerà,to carry on / to continue
ciglio,border / edge / side / gutter / brow
spezza,to break / break up / to chop [wood]
basterà,to be enough
scolastica,scholastic / school / scholastic / educational / education / scholastic (f.)
ei,Esercito Italiano
buffone,clown / buffoon / joker / fool
prue,prow / bow
insegnarti,to teach / to lecture / to teach
serate,evening / night
alimenti,food / nourishment / alimony / maintenance
cerasa,cherry
selezione,selection / choice / picking / dialing / dialling
svegliarsi,to wake up / to awaken / to get up
godendo,to enjoy
accese,to light / ignite / kindle / to turn on [a device]
cappuccio,cowl / hood / cappuccino
dinamite,dynamite
numerosi,number
fingi,To dissemble / To pretend or feign
luminoso,bright / light / luminous
cattolico,Catholic / Catholic
colpe,blame / fault / guilt
vivrai,lifestyle / living / life / to be
accettabile,acceptable
concentrarsi,reflexive form of concentrare / to concentrate
immenso,immense / huge / vast / enormous / boundless
cominciò,to begin / to start / to commence
russe,Russian / Russian / The Russian language
picco,peak / high / peak / summit / peak
simboli,symbol / sign / emblem / icon
affido,to entrust / commit / give / leave
brunch,brunch
diventero,to become / go / to grow
spuntino,snack / blunt / clip
fermera,to close / to stop
sentirei,to hear / feel
ribellione,A rebellion / an insurrection / a revolt
massaggi,massage
budino,pudding
permettetemi,to allow / to let / to permit / to authorize / to entitle
togliamo,to take off / to take out
scia,trail / wake / footsteps / slipstream / wake
vesti,to be dressed / dress / wear / to clothe / to dress
romanzi,Romance / novel / romance
ritenuto,reserved / circumspect / cautious
mangiarlo,to eat
smettete,to stop or cease
darla,to give
bussola,A type of ring-shaped breadstick from Burano / ballot box
piangeva,to cry
frammento,fragment / bit / passage / extract
decollo,takeoff
striscia,comic strip / zebra crossing / pedestrian crossing / crosswalk
sanguinare,to bleed
imperiale,imperial
operatore,cameraman / An operator / An operator
agenzie,agency / bureau / branch office
tornassi,to return
sorridendo,To smile / to grin
binario,binary / rail / railway / railroad / line / track / platform
ruoli,role
lamenta,to lament
muto,mute / voiceless
eccesso,excess / surplus / glut
irlandesi,Irish / female Irish / Irishwoman / Irish / Irishman
lamento,lament / moan / groan
vincitori,winning / victorious / victor / winner
addominali,abdominal / abdominal / abdominal muscle
artigli,art
allontanarsi,to stray / deviate / reflexive form of allontanare
ammalato,ill / sick / suffering / diseased / patient / sick person
reazioni,reaction
abbassate,to lower / to press down on a pedal
simulazione,faking / feigning / simulation
scozzese,Scotch / Scottish / Scots / tartan
condizionale,conditional / conditional clause
onestà,fairness / honesty / virtue / chastity
impostore,impostor / fake
sposate,to embrace / espouse / join
disgraziato,good-for-nothing / poor / wretched / unfortunate / unlucky
rimessa,remittance / put back (f.)
quartieri,quarter / flat / apartment
ricostruzione,reconstruction
pomodoro,tomato
accolto,welcomed (p.p. of accogliere)
fogli,sheet
trafficante,fence / pusher / trafficker
arrabbi,to have rabies; to be rabid
individuare,to detect / to identify / to locate
rotti,broken (p.p. of rompere)
gridando,To squall / to scream or yell / to shout or cry
spaventarti,to frighten / scare / spook
introdotto,introduced (p.p. of introdurre)
provavo,to try on / to rehearse / to feel / experience
matricola,freshman / fresher / number / register
prostituzione,prostitution
piacciano,pleased to meet you / delight / favour / kindness
avanza,to advance / to go forward / to move forward / to proceed
convocato,convened / summoned / A player summoned to play for the national side
lamentarsi,reflexive form of lamentare / to complain
sposarla,to embrace / espouse / join
sportello,windows / doors / position
piccioni,A pigeon; more accurately the rock pigeon / feral pigeon or domestic pigeon
isabella,female given name
cenato,to dine / to have dinner
rima,rima / verses / rhyme
detti,given (m. pl.) / sayings
polonia,Poland
difendersi,reflexive form of difendere / to defend oneself / protect oneself
mancherà,to miss / to be lacking / to be missing / absent
raduno,gathering / meeting / muster
aprirlo,to open
rompi,to annoy / to break / to disturb
proveniente,That comes or originates a specified place
uccisione,a kill or killing / a murder
graziosa,cute / pretty / nice / delightful / graceful
masticare,to chew / to crunch
insulti,insult / abuse / slur / insult
